file,totalNotes,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,rule_11,rule_12
Qma2wvbnmFgdbruyKfqLgndyFad3XyLbJN9n9f6Knb62nP_output.musicxml,122,216,167,276,76,164,76,67,7,7,25,4,24
Qma3ZYuqhNFejkoqiPj4uNPGRpiRKEtQaJDMcL6zsHkMdc_output.musicxml,122,178,142,228,76,156,82,84,2,2,139,56,43
Qma6sXcoaqDDYWthsxZFHacuGySGdvQcFRpjm9nMHsShhb_output.musicxml,70,148,95,106,58,103,39,31,3,2,15,0,31
Qma9Viq8gYVox8v45L2fShvsN3aXHtMAPFvmaJkd43WN2s_output.musicxml,144,116,153,288,53,117,99,94,8,0,136,98,17
QmacV8wFedPppypix8TKE56iSYeZxyYTqjVpivhsQpnDpi_output.musicxml,113,204,196,272,71,172,83,86,2,0,0,0,18
QmaffogxWrfBh8ekWaaRujkXtmibw8cAxWyhCqgRn7rhzJ_output.musicxml,56,76,58,105,43,58,31,19,2,2,85,22,23
Qmafx5kSd6wdyQ2zyXwF6heiAqS9FwjEUqjdh6yi9jAeBc_output.musicxml,219,214,135,198,48,112,66,34,4,6,64,28,26
Qmai5xA7vuH3QWXwYuCwwaUFt5BRGtPwdwfs1QTKEFEWRo_output.musicxml,154,198,186,315,92,182,110,107,6,1,149,90,38
QmaiZgyGKXLiyVnAHvWNAdjqCCHCavfwozmyE8BffMcsKY_output.musicxml,139,240,186,324,105,205,106,100,6,6,181,102,42
QmaK6Ex5EsfgzN2R3dYeexfoM6CugKBFE4ue7iyWKnz8w5_output.musicxml,144,46,67,70,59,99,74,32,7,2,0,12,8
QmaKcH7cKadFNqqNFf2qM9vbozG1MDPH1zDCfqkrdEZcdh_output.musicxml,104,188,154,259,72,144,72,68,4,0,94,52,41
QmaRVU6xvvUshPVRWDojuiKVKxqboTrVtNRWNi4zKDBGT3_output.musicxml,32,0,0,2,1,2,2,2,0,0,0,0,1
QmatmaGXSnw2sUwAsHZ8u9Ui36cmShtYgDAtnuebHCpuRE_output.musicxml,106,142,139,204,66,145,67,64,3,1,58,0,28
QmatTdS42gnk99tshFc2b9WKgZwM6xpvgrPS1ZMSM6Aq76_output.musicxml,67,80,55,78,44,64,45,47,3,0,10,0,16
QmaUbpvbxx2ibbjPm4KpuyDGBaVL9CrANjbVgj4hij1pz5_output.musicxml,172,206,248,477,80,179,118,108,4,1,137,48,35
QmaWK4xLCU9FsWgmaVGQZKWxFocuFfz7i7cz2WGWwp4nix_output.musicxml,175,210,201,316,96,204,119,123,11,2,20,0,28
Qmb5kizszjtpHeEbitLrSXej3YFAvAzzJEprDL42pK2KHz_output.musicxml,144,236,176,275,114,219,91,88,7,3,231,64,55
Qmb8vZeRdZy8nUttRoJVbhfxrtRU1eFJNXK988NQQZEkXH_output.musicxml,188,230,250,496,73,192,123,120,5,0,29,8,16
QmbbNRWP3gr5ooxoEcNCNfyB7aBYw9k7CKBTD2Rvj4dp9k_output.musicxml,474,1428,1223,1053,304,1264,173,61,1,0,131,62,83
QmbDMwNhnuNVsBri6B67TeEd453V4YAXNWW74xWz637JpX_output.musicxml,137,58,91,25,49,68,79,50,5,0,55,40,12
QmbeMygTJjtBYf9gnqeLDHujzmo8cguaTQPB12B6BwuWYU_output.musicxml,116,174,149,220,72,144,68,63,2,0,159,54,29
QmbGCASrpJWhvqYzG2fieVX8VhnacadXyytHWZikxDFmHb_output.musicxml,160,212,198,315,107,231,117,102,10,3,157,78,32
QmbMoS1mQiQjc9jtsRoQ8gYkoncNYrA9NjmDgcAwNvWgRn_output.musicxml,111,214,111,258,43,122,42,15,1,1,16,12,9
QmbQobrJEBs4ejDtzbbveYRBYgJmczQxL4Fqp6U7SdJR2J_output.musicxml,65,30,31,46,23,35,44,41,1,1,25,0,7
QmbRYiXKhxbQBufoGCd4sz8NWTRSa5QzPg5JVnepvmDx7P_output.musicxml,70,42,24,48,13,17,28,24,5,0,5,4,7
QmbTmqfCUCawLTAWjQPbX8jEBNahdp2fdFvHo9Ft72EpKg_output.musicxml,108,220,138,184,82,156,64,60,6,2,136,42,36
QmbtuGqsucaUzPoJR7nfQL9EfBeM6PeJ27wQbncbgoHH84_output.musicxml,100,130,85,211,76,99,62,57,3,0,70,16,26
QmbTZBHrR2dB94np83vnxbEQBbCcw7tzDPxzdk9C2AYS2u_output.musicxml,266,212,255,578,116,206,119,75,7,5,169,76,33
QmbuFonxnNBE768HzYfm6KQcgmvcaS2cM5qyaDSYPEUZmL_output.musicxml,112,142,107,177,70,113,65,61,11,2,13,4,28
QmbvpiesGpZ11Z5E2DVosZhMCUpcHNLjCcRFYmgeKTn38a_output.musicxml,253,582,406,431,136,589,86,23,10,3,93,26,39
QmbWPFbBJwgXz8pg5NEZsR1w1dCFdujUNNDpZ25b1F4y4S_output.musicxml,162,192,199,324,81,232,110,98,6,2,78,8,23
QmbX9gRrBHjvkbMH8xhbePyYrUnDNjVVa7T5HTq966CYhe_output.musicxml,250,626,359,621,181,388,151,125,9,2,252,132,81
QmbZmDbmVAuf1iu5X6msyt6AYdiH5dhBXc5TUtwtX5Lsvy_output.musicxml,127,212,278,484,62,173,100,87,0,0,68,32,35
Qmc1JAC9gXBt9WKpujDEvsZ8qTkAeyrdEYPYCexnSLHocb_output.musicxml,32,980,249,1046,25,140,22,13,6,1,0,0,12
Qmc1na6jbBFLNd2UAfHdTkP84YXPy7DzmLMgKWjeRvWo5W_output.musicxml,141,234,192,327,103,225,76,78,3,0,0,0,42
Qmc2ihdhQcBbMfTV14iShRF7Gb8jT7WKtXufiCBUprmzWx_output.musicxml,83,96,54,78,41,71,38,30,5,3,47,16,16
Qmc6JkqAbgYs7xvXgBFk5K6VesW97oGZDYkyx32rwAcbP6_output.musicxml,128,168,198,341,60,164,80,68,5,0,5,0,19
QmcDF6vyFncajD69s4P7E6cL498pVt2FXQQzLDeZVUYJQR_output.musicxml,134,120,108,125,58,116,81,70,4,1,10,0,8
Qmcef15nWEJ1FbCymLQF8hwN3wAwbmpbijport7BLED4dU_output.musicxml,33,42,31,70,10,33,13,4,1,2,0,0,4
QmcHjkMMFYXBphh4KcYT2La37UYbc7cR5Aod4nB5BSCXwn_output.musicxml,119,216,112,170,85,182,67,53,8,2,194,60,55
QmcLTiA8u2rvYirDUborAcLfwNwaptykdyhYnCbwYLmoTe_output.musicxml,130,142,116,181,53,104,76,70,16,5,182,62,47
QmcLXwiCUa2F2rXPzeaHp7DmafDeLxLyqRF6wX46fiNxfd_output.musicxml,135,214,193,284,72,198,107,95,8,6,50,28,16
QmcM5E2q6SMJuqk851axXftkF9yJ5B2yfk5VKGHwbvTzcf_output.musicxml,188,742,499,788,125,433,119,104,9,4,196,72,47
QmcMtSaHFqbvF2aJGx8EfJRkZBpx4nBczLbJguBk2ZELBJ_output.musicxml,11,6,5,4,2,6,3,2,0,0,6,0,3
QmcoUfkR8kQPBqUfpdjEUPBwz1o3EA9MivECufeWaTF9Nq_output.musicxml,69,54,53,54,33,92,34,21,5,1,13,14,8
QmcPEe85q7b2VRDMCQ69VjxjZejahUp4sL6zsPyFGL2zY2_output.musicxml,211,58,83,51,34,63,51,19,2,0,0,0,18
QmcQzt6aNBqd6FtQoTrHvT2YfVfjS4rGjWaWNheGFjzXGp_output.musicxml,254,84,96,116,50,100,90,86,7,0,10,0,22
QmcsravbWqvsVb4ECmyeqwnJnDn17yvYaNsij4eHKv7QKD_output.musicxml,155,420,369,410,115,600,62,37,4,2,74,28,63
QmcwKfRuWAvnQofcMzu6fyDpGaxHwqyw2bd9AgPJg7EAqb_output.musicxml,56,90,97,120,32,95,35,31,2,0,5,4,8
QmcxbrUrbBziYZj2noKrtXPa87dxdhAAk12pUPDato1g9X_output.musicxml,98,220,168,193,71,185,61,40,3,0,5,0,25
QmcyxpgbpxZAxrNypLsa2Qop881UtGUw7ZJ775T3bmWcNe_output.musicxml,52,114,57,86,29,83,35,29,4,4,22,16,6
QmcZMyK152wGGmZQa3FScDrkP22aC96Q1nkdAGSQmUgymk_output.musicxml,127,248,201,307,90,190,75,65,3,0,30,8,34
QmcZo9AutYwuWHpW9BV1HMiN3F8tosTDPuLaCPEXC98Cb5_output.musicxml,148,264,208,340,87,209,97,95,9,0,5,12,27
Qmd1vYiah9fyrCnaZnBq2S7TP4NwnPBrax4QL1u3H18XHL_output.musicxml,548,46,134,109,57,104,105,66,19,10,146,40,22
Qmd4cA6nCNZgqnv44bt2KXpENk4TYMtpKFMvShp8kn5m9M_output.musicxml,64,110,83,153,42,92,39,35,2,0,5,0,23
QmdBf4xcutYzLCj25VXoQEnFUMnEt5xmjvjeap7TtyyMif_output.musicxml,127,236,184,328,86,211,86,87,10,8,77,18,30
