file,totalNotes,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,rule_11,rule_12
Qma21CqJ1p1X1LeXeiw5ZpUa8rNPFRKkGvBmRvvf2sBwSA_output.musicxml,107,344,207,243,77,244,67,46,3,1,13,16,24
Qma268kmWWTWr4JkT5ij4BJb6nohRtA89dTeytx3n9VbfR_output.musicxml,273,658,481,624,144,382,124,67,11,0,0,0,22
Qma2wvbnmFgdbruyKfqLgndyFad3XyLbJN9n9f6Knb62nP_output.musicxml,134,616,330,504,109,348,91,76,13,3,25,24,40
Qma31GN1AU4NrgVWwSAcDTWAUQuxkFKR3xbJ63Cxx6SQxD_output.musicxml,163,652,344,631,125,418,118,117,11,0,253,84,21
Qma3v1X2ct4MXVhSJks6UbGkmdVQwQzuzCaWhEKTj5TXiR_output.musicxml,177,864,436,739,164,545,125,128,9,3,139,94,58
Qma3ZYuqhNFejkoqiPj4uNPGRpiRKEtQaJDMcL6zsHkMdc_output.musicxml,132,658,370,613,121,336,104,99,6,2,136,98,60
Qma4D4J2jq27idq2q4AePU4oachAJzYFv4WfVNJAcyVNaX_output.musicxml,60,292,158,171,67,144,38,33,3,0,72,36,46
Qma4Mw7GwUknR57jUKdnMzm4Js5VCcNY5sUTEmWftoGWwG_output.musicxml,54,332,189,284,54,144,47,38,1,0,31,20,28
Qma5AVG3KjKYeatqgSmYznxdewFep9FwzCWarmUjHNx249_output.musicxml,157,122,98,96,57,179,54,34,16,5,10,6,1
Qma5rMHVp7eLypCt7m8ZAjF42gg8tFaVzZ79yRxsWUjhwN_output.musicxml,140,486,317,331,142,299,91,80,0,0,196,96,67
Qma6sXcoaqDDYWthsxZFHacuGySGdvQcFRpjm9nMHsShhb_output.musicxml,70,430,213,272,70,215,57,49,4,1,25,0,33
Qma8o1T5LtyCMsSBvUzdbcgTGZH4cDdnoZPzA3TSwDuNvQ_output.musicxml,68,324,169,222,60,172,46,38,2,0,43,24,22
Qma8pTNYxHXAKvS6kW2dP9qtjcESGT3aRFqPzfcLWVzeF6_output.musicxml,117,436,232,257,111,259,97,93,8,2,25,8,40
Qma9Viq8gYVox8v45L2fShvsN3aXHtMAPFvmaJkd43WN2s_output.musicxml,150,704,393,643,123,409,81,85,4,1,170,82,70
Qmaa6TEkiKuFooRyFrvAawXt8Kukrdusz7j7GkvHMcni9G_output.musicxml,177,590,310,408,122,297,142,131,9,0,30,6,40
QmaBABbGn1LcvX9ziLagVhokJRiS7mtMQmf5iRwFUStLZx_output.musicxml,78,412,257,340,80,225,39,28,0,0,83,38,44
QmaBobhkacbctx7fZnk8o6khrr8wBCp3PkUZtH7r7xab3X_output.musicxml,167,544,364,399,169,398,118,118,5,3,223,138,66
Qmac68bvUkNUSDkVdcbC6Q8ETGJAVKJ31EzuSJujXHrRWp_output.musicxml,172,254,160,239,86,258,63,53,11,2,18,0,16
