file,totalNotes,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,rule_11,rule_12
Qma21CqJ1p1X1LeXeiw5ZpUa8rNPFRKkGvBmRvvf2sBwSA_output.musicxml,107,1522,717,1344,99,527,54,31,6,3,10,24,50
Qma268kmWWTWr4JkT5ij4BJb6nohRtA89dTeytx3n9VbfR_output.musicxml,273,1756,1013,1507,190,699,106,57,15,0,0,0,65
Qma2wvbnmFgdbruyKfqLgndyFad3XyLbJN9n9f6Knb62nP_output.musicxml,134,2558,1183,2454,142,839,79,61,13,3,10,18,49
Qma31GN1AU4NrgVWwSAcDTWAUQuxkFKR3xbJ63Cxx6SQxD_output.musicxml,163,3442,1539,3353,180,1122,90,80,22,13,94,56,66
Qma3v1X2ct4MXVhSJks6UbGkmdVQwQzuzCaWhEKTj5TXiR_output.musicxml,177,4078,1801,3981,211,1300,91,73,18,7,104,40,118
Qma3ZYuqhNFejkoqiPj4uNPGRpiRKEtQaJDMcL6zsHkMdc_output.musicxml,132,3120,1399,3059,140,963,79,75,16,9,55,50,52
Qma4D4J2jq27idq2q4AePU4oachAJzYFv4WfVNJAcyVNaX_output.musicxml,60,1276,653,1221,62,421,38,39,8,4,27,28,26
Qma4Mw7GwUknR57jUKdnMzm4Js5VCcNY5sUTEmWftoGWwG_output.musicxml,54,1282,629,1223,67,425,33,21,3,2,18,8,30
Qma5AVG3KjKYeatqgSmYznxdewFep9FwzCWarmUjHNx249_output.musicxml,157,738,530,489,107,416,58,39,9,3,40,30,45
Qma5rMHVp7eLypCt7m8ZAjF42gg8tFaVzZ79yRxsWUjhwN_output.musicxml,140,2578,1354,2544,166,939,90,65,21,3,81,60,66
Qma6sXcoaqDDYWthsxZFHacuGySGdvQcFRpjm9nMHsShhb_output.musicxml,70,1568,748,1502,79,526,45,27,13,1,15,8,40
Qma8o1T5LtyCMsSBvUzdbcgTGZH4cDdnoZPzA3TSwDuNvQ_output.musicxml,68,1230,602,1121,71,438,42,33,6,6,28,28,37
Qma8pTNYxHXAKvS6kW2dP9qtjcESGT3aRFqPzfcLWVzeF6_output.musicxml,117,2178,1132,2154,130,753,71,57,18,3,30,16,51
Qma9Viq8gYVox8v45L2fShvsN3aXHtMAPFvmaJkd43WN2s_output.musicxml,150,3268,1516,3207,172,1021,86,78,20,6,97,66,76
Qmaa6TEkiKuFooRyFrvAawXt8Kukrdusz7j7GkvHMcni9G_output.musicxml,177,3026,1473,2801,216,1038,109,82,18,6,50,14,95
QmaBABbGn1LcvX9ziLagVhokJRiS7mtMQmf5iRwFUStLZx_output.musicxml,78,1388,749,1315,76,466,38,28,6,3,37,24,29
QmaBobhkacbctx7fZnk8o6khrr8wBCp3PkUZtH7r7xab3X_output.musicxml,167,3392,1670,3214,199,1151,98,85,14,7,110,78,101
Qmac68bvUkNUSDkVdcbC6Q8ETGJAVKJ31EzuSJujXHrRWp_output.musicxml,172,1006,719,719,127,504,74,38,10,2,23,24,21
QmacLw4DSVPQQ9Br1mm7fBNb7huzaJrXBoiHFRptfBHruF_output.musicxml,92,276,227,211,64,170,24,5,2,0,38,2,39
