file,totalNotes,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,rule_11,rule_12
Qma2wvbnmFgdbruyKfqLgndyFad3XyLbJN9n9f6Knb62nP_output.xml,134,3024,4156,1794,124,1149,84,86,27,1,0,4,0
Qma3v1X2ct4MXVhSJks6UbGkmdVQwQzuzCaWhEKTj5TXiR_output.xml,177,4572,6446,2976,168,1749,119,118,21,11,0,60,0
Qma3ZYuqhNFejkoqiPj4uNPGRpiRKEtQaJDMcL6zsHkMdc_output.xml,133,3460,5140,2217,119,1269,96,96,17,9,0,82,2
Qma6sXcoaqDDYWthsxZFHacuGySGdvQcFRpjm9nMHsShhb_output.xml,76,1866,2636,1288,72,723,62,72,19,5,0,4,0
Qma9Viq8gYVox8v45L2fShvsN3aXHtMAPFvmaJkd43WN2s_output.xml,168,4188,6259,2821,166,1516,129,130,23,7,5,64,4
QmacV8wFedPppypix8TKE56iSYeZxyYTqjVpivhsQpnDpi_output.xml,120,3184,4388,2006,109,1237,87,80,22,0,0,0,0
QmaffogxWrfBh8ekWaaRujkXtmibw8cAxWyhCqgRn7rhzJ_output.xml,59,1404,1920,990,55,544,45,54,9,5,0,46,0
Qmafx5kSd6wdyQ2zyXwF6heiAqS9FwjEUqjdh6yi9jAeBc_output.xml,219,2384,2826,1304,164,1300,127,115,14,5,0,38,0
Qmai5xA7vuH3QWXwYuCwwaUFt5BRGtPwdwfs1QTKEFEWRo_output.xml,160,4078,6078,2651,140,1476,125,120,30,12,3,92,4
QmaiZgyGKXLiyVnAHvWNAdjqCCHCavfwozmyE8BffMcsKY_output.xml,141,3992,5930,2660,132,1514,104,112,24,5,0,82,0
QmaK6Ex5EsfgzN2R3dYeexfoM6CugKBFE4ue7iyWKnz8w5_output.xml,144,2484,2578,1399,134,926,86,56,16,0,0,0,7
QmaKcH7cKadFNqqNFf2qM9vbozG1MDPH1zDCfqkrdEZcdh_output.xml,108,2946,4366,1999,102,1154,78,78,11,6,5,34,4
QmaRVU6xvvUshPVRWDojuiKVKxqboTrVtNRWNi4zKDBGT3_output.xml,32,104,66,68,21,74,14,14,0,0,0,0,0
QmatmaGXSnw2sUwAsHZ8u9Ui36cmShtYgDAtnuebHCpuRE_output.xml,110,2822,3998,1709,106,1024,79,82,28,8,0,26,4
QmatTdS42gnk99tshFc2b9WKgZwM6xpvgrPS1ZMSM6Aq76_output.xml,67,1664,2428,1176,63,631,50,63,11,1,0,24,0
QmaUbpvbxx2ibbjPm4KpuyDGBaVL9CrANjbVgj4hij1pz5_output.xml,172,5030,7779,3290,152,1756,138,138,34,12,0,58,1
QmaWK4xLCU9FsWgmaVGQZKWxFocuFfz7i7cz2WGWwp4nix_output.xml,182,4714,6728,3308,176,1823,134,153,25,0,0,16,0
QmaYyTqsmhixApamjGfsD1GWxaQF9aYnW4ZWevFrN3cifd_output.xml,371,12786,19303,8059,365,4380,271,308,106,61,1,256,2
QmazrEhDr9fiDDQW9V9oUtYiA8Q7iTd9XhqJaj3CRitZhi_output.xml,201,7654,11415,4824,197,2884,162,164,61,5,0,20,0
Qmb5kizszjtpHeEbitLrSXej3YFAvAzzJEprDL42pK2KHz_output.xml,146,3870,5687,2578,137,1519,105,109,29,17,3,108,1
Qmb627H6V3G8Naz7bXHASscqeFrXRdfB1GD61nEWsjLRPj_output.xml,234,5172,7686,3178,205,1935,134,148,29,3,0,110,2
Qmb8vZeRdZy8nUttRoJVbhfxrtRU1eFJNXK988NQQZEkXH_output.xml,191,5104,7554,3052,175,1754,143,146,39,17,0,20,4
QmbbNRWP3gr5ooxoEcNCNfyB7aBYw9k7CKBTD2Rvj4dp9k_output.xml,477,5634,4489,3464,410,3758,161,108,12,1,0,50,4
QmbBvDTWE5w3Fd6BKMaKBAeb74ZhD5o9LUnBfUCbgsRVu4_output.xml,175,4304,6082,2771,163,1554,124,109,32,9,5,26,2
QmbDMwNhnuNVsBri6B67TeEd453V4YAXNWW74xWz637JpX_output.xml,139,3474,4752,2024,117,933,96,81,19,5,0,42,0
QmbeMygTJjtBYf9gnqeLDHujzmo8cguaTQPB12B6BwuWYU_output.xml,129,3124,4661,1962,124,1195,85,82,19,12,1,74,2
QmbGCASrpJWhvqYzG2fieVX8VhnacadXyytHWZikxDFmHb_output.xml,161,4210,6234,2824,153,1565,115,132,18,2,0,80,0
QmbjksBXH1EpmG3fSpvaxzChQSZZeBgmYjTsuKGgm8r4D9_output.xml,236,6438,8836,4108,230,2613,153,134,44,13,0,136,0
QmbMoS1mQiQjc9jtsRoQ8gYkoncNYrA9NjmDgcAwNvWgRn_output.xml,113,1614,1975,896,106,891,46,31,5,0,5,8,13
QmbQobrJEBs4ejDtzbbveYRBYgJmczQxL4Fqp6U7SdJR2J_output.xml,72,1510,2040,1040,68,528,58,65,10,4,0,12,0
QmbRYiXKhxbQBufoGCd4sz8NWTRSa5QzPg5JVnepvmDx7P_output.xml,70,990,1202,504,55,343,48,46,9,3,0,4,0
QmbSoYo7Ermc7sPyqUZaKyHctH1aHTS5w4ijD5tA2TwvYh_output.xml,155,4180,5949,2831,148,1634,111,119,22,6,9,46,12
QmbTmqfCUCawLTAWjQPbX8jEBNahdp2fdFvHo9Ft72EpKg_output.xml,113,2894,4240,1870,105,1080,89,88,20,7,0,78,0
QmbtuGqsucaUzPoJR7nfQL9EfBeM6PeJ27wQbncbgoHH84_output.xml,100,3862,5462,1583,97,811,78,71,39,17,5,56,12
QmbTZBHrR2dB94np83vnxbEQBbCcw7tzDPxzdk9C2AYS2u_output.xml,266,5456,7449,2981,229,2102,140,119,30,6,5,96,4
QmbuFonxnNBE768HzYfm6KQcgmvcaS2cM5qyaDSYPEUZmL_output.xml,117,2958,4255,1827,107,993,83,82,17,4,0,8,6
QmbvpiesGpZ11Z5E2DVosZhMCUpcHNLjCcRFYmgeKTn38a_output.xml,262,3888,3956,2535,245,2413,122,95,12,1,0,46,2
QmbWPFbBJwgXz8pg5NEZsR1w1dCFdujUNNDpZ25b1F4y4S_output.xml,203,3744,5098,2503,178,1887,122,147,23,7,5,54,3
QmbX9gRrBHjvkbMH8xhbePyYrUnDNjVVa7T5HTq966CYhe_output.xml,276,6272,8336,3816,269,2405,184,185,48,26,17,156,14
QmbZmDbmVAuf1iu5X6msyt6AYdiH5dhBXc5TUtwtX5Lsvy_output.xml,208,4500,6146,3588,179,1798,119,96,6,0,0,28,0
Qmc1JAC9gXBt9WKpujDEvsZ8qTkAeyrdEYPYCexnSLHocb_output.xml,75,1610,1978,788,74,731,26,14,5,1,0,8,9
Qmc1na6jbBFLNd2UAfHdTkP84YXPy7DzmLMgKWjeRvWo5W_output.xml,147,3794,5510,2490,138,1452,100,105,14,0,0,0,5
Qmc2ihdhQcBbMfTV14iShRF7Gb8jT7WKtXufiCBUprmzWx_output.xml,83,1830,2467,827,67,465,56,52,15,2,0,48,1
Qmc6JkqAbgYs7xvXgBFk5K6VesW97oGZDYkyx32rwAcbP6_output.xml,128,3516,5421,1985,118,1105,94,93,22,0,0,12,11
QmcBCmS8Vae4REM7xyw7vJENvEEyrokt6ag7yd715nVpoV_output.xml,80,1154,1252,550,65,433,46,42,17,0,0,0,0
